Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Direction
1712178544.657018,-187.5,-706.0546875,-306.640625,-145.5078125,0.0,none
1712178544.6609125,-182.6171875,-666.50390625,-266.11328125,-160.64453125,0.0,none
1712178544.664807,-161.1328125,-910.15625,-506.8359375,-142.08984375,0.0,none
1712178544.6687016,-178.7109375,-753.90625,-472.65625,-142.08984375,0.0,none
1712178544.6725962,-216.30859375,-78.61328125,-42.96875,-181.640625,0.0,none
1712178544.6764908,-195.80078125,-42.48046875,-153.3203125,-180.17578125,0.0,none
1712178544.6805315,-182.6171875,-466.796875,-301.26953125,-173.33984375,0.0,none
1712178544.684426,-198.2421875,-329.1015625,-108.3984375,-169.43359375,0.0,none
1712178544.6883206,-207.03125,79.58984375,-29.296875,-163.0859375,0.0,none
1712178544.6922152,-194.82421875,-125.0,-172.36328125,-160.15625,0.0,none
1712178544.6961098,-181.15234375,-539.0625,-295.41015625,-163.0859375,0.0,none
1712178544.7000043,-181.640625,-679.19921875,-312.01171875,-149.4140625,0.0,none
1712178544.703899,-188.96484375,-617.67578125,-261.23046875,-141.6015625,0.0,none
1712178544.7077935,-191.40625,-634.27734375,-303.22265625,-151.85546875,0.0,none
1712178544.711688,-171.38671875,-848.6328125,-433.10546875,-156.25,0.0,none
1712178544.7155826,-181.640625,-470.703125,-217.7734375,-170.41015625,0.0,none
1712178544.7194772,-190.91796875,13.671875,-51.7578125,-156.25,0.0,none
1712178544.7233717,-169.921875,-270.99609375,-222.65625,-125.9765625,0.0,none
1712178544.727402,-149.4140625,-507.8125,-329.1015625,-127.9296875,0.0,none
1712178544.7312965,-133.30078125,-202.1484375,-165.0390625,-124.0234375,0.0,none
1712178544.735191,-161.1328125,-34.1796875,-88.8671875,-123.53515625,0.0,none
1712178544.7390857,-191.89453125,-383.7890625,-182.6171875,-144.53125,0.0,none
1712178544.7429802,-187.98828125,-563.96484375,-251.953125,-159.1796875,0.0,none
