timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1713993501.3013046,1,HELLO,687.98828125,384.27734375,-452.1484375,-1000.0,0.0,0
1713993501.305165,1,HELLO,678.22265625,833.0078125,-290.0390625,-73.2421875,0.0,0
1713993501.3090253,1,HELLO,-908.203125,-727.05078125,-600.5859375,707.03125,0.0,0
1713993501.3132796,1,HELLO,-1000.0,-1000.0,-746.09375,-750.0,0.0,0
1713993501.31714,1,HELLO,25.390625,-147.4609375,-571.77734375,-1000.0,0.0,0
1713993501.3210006,1,HELLO,999.51171875,999.51171875,-237.79296875,-245.1171875,0.0,0
1713993501.3248613,1,HELLO,-200.68359375,-42.96875,-464.84375,999.51171875,0.0,0
1713993501.3287218,1,HELLO,-1000.0,-1000.0,-723.6328125,18.5546875,0.0,0
1713993501.3325822,1,HELLO,-217.7734375,-262.6953125,-583.49609375,-1000.0,0.0,0
1713993501.336443,1,HELLO,999.51171875,999.51171875,-149.90234375,-508.30078125,0.0,0
1713993501.3403034,1,HELLO,246.09375,246.58203125,-351.5625,999.51171875,0.0,0
1713993501.344164,1,HELLO,-1000.0,-1000.0,-666.50390625,261.23046875,0.0,0
1713993501.3480246,1,HELLO,-552.734375,-699.21875,-678.7109375,-1000.0,0.0,0
1713993501.351885,1,HELLO,999.51171875,951.66015625,-393.5546875,-1000.0,0.0,0
1713993501.3557456,1,HELLO,356.93359375,468.26171875,-386.23046875,512.20703125,0.0,0
1713993501.3602757,1,HELLO,-1000.0,-1000.0,-623.53515625,647.4609375,0.0,0
1713993501.3641367,1,HELLO,-1000.0,-1000.0,-698.2421875,-932.6171875,0.0,0
1713993501.367998,1,HELLO,491.69921875,215.33203125,-536.1328125,-1000.0,0.0,0
1713993501.3718588,1,HELLO,826.171875,976.07421875,-354.98046875,20.5078125,0.0,0
1713993501.3757198,1,HELLO,-747.55859375,-520.99609375,-541.50390625,999.51171875,0.0,0
1713993501.3795807,1,HELLO,-1000.0,-1000.0,-669.921875,-205.56640625,0.0,0
1713993501.3834417,1,HELLO,-107.421875,-198.73046875,-581.0546875,-1000.0,0.0,0
1713993501.3873026,1,HELLO,999.51171875,999.51171875,-232.421875,-225.09765625,0.0,0
1713993501.3911636,1,HELLO,-34.66796875,100.5859375,-382.32421875,999.51171875,0.0,0
1713993501.3950245,1,HELLO,-1000.0,-1000.0,-617.1875,238.28125,0.0,0
1713993501.3988855,1,HELLO,-229.00390625,-352.5390625,-631.34765625,-1000.0,0.0,0
1713993501.4027464,1,HELLO,999.51171875,999.51171875,-349.609375,-341.796875,0.0,0
1713993501.4074593,1,HELLO,244.62890625,247.55859375,-351.07421875,999.51171875,0.0,0
1713993501.4113207,1,HELLO,-1000.0,-1000.0,-613.28125,500.0,0.0,0
1713993501.415182,1,HELLO,-647.4609375,-835.9375,-741.69921875,-1000.0,0.0,0
1713993501.4190438,1,HELLO,999.51171875,786.1328125,-431.640625,-793.45703125,0.0,0
1713993501.4229052,1,HELLO,458.984375,600.09765625,-324.70703125,774.90234375,0.0,0
1713993501.4267666,1,HELLO,-1000.0,-947.75390625,-577.1484375,999.51171875,0.0,0
1713993501.430628,1,HELLO,-1000.0,-1000.0,-704.1015625,-451.66015625,0.0,0
1713993501.4344897,1,HELLO,265.13671875,66.40625,-595.21484375,-1000.0,0.0,0
1713993501.4383512,1,HELLO,999.51171875,999.51171875,-165.0390625,84.9609375,0.0,0
1713993501.4422126,1,HELLO,-481.4453125,-290.0390625,-326.66015625,999.51171875,0.0,0
1713993501.4460742,1,HELLO,-1000.0,-1000.0,-749.0234375,144.53125,0.0,0
1713993501.4499357,1,HELLO,-207.03125,-214.35546875,-653.80859375,-1000.0,0.0,0
1713993501.4543755,1,HELLO,999.51171875,999.51171875,-192.3828125,-257.32421875,0.0,0
1713993501.4582374,1,HELLO,138.671875,216.30859375,-335.9375,999.51171875,0.0,0
1713993501.4620993,1,HELLO,-1000.0,-1000.0,-711.9140625,239.2578125,0.0,0
1713993501.4659612,1,HELLO,-333.984375,-476.5625,-703.61328125,-1000.0,0.0,0
1713993501.469823,1,HELLO,999.51171875,999.51171875,-284.1796875,-467.7734375,0.0,0
1713993501.4736848,1,HELLO,247.55859375,291.9921875,-275.390625,999.51171875,0.0,0
1713993501.4775467,1,HELLO,-1000.0,-1000.0,-613.76953125,579.58984375,0.0,0
1713993501.4814086,1,HELLO,-785.64453125,-972.16796875,-718.75,-971.6796875,0.0,0
1713993501.4852703,1,HELLO,855.95703125,566.40625,-286.62109375,-1000.0,0.0,0
1713993501.4891322,1,HELLO,613.28125,761.23046875,-174.31640625,445.3125,0.0,0
1713993501.492994,1,HELLO,-945.3125,-806.640625,-642.08984375,999.51171875,0.0,0
1713993501.496856,1,HELLO,-1000.0,-1000.0,-702.63671875,-349.609375,0.0,0
1713993501.5012646,1,HELLO,119.62890625,-74.21875,-545.41015625,-1000.0,0.0,0
1713993501.5051267,1,HELLO,999.51171875,999.51171875,-344.7265625,-130.859375,0.0,0
1713993501.5089889,1,HELLO,-250.9765625,-116.2109375,-499.51171875,999.51171875,0.0,0
1713993501.5128512,1,HELLO,-1000.0,-1000.0,-682.6171875,197.265625,0.0,0
1713993501.5167134,1,HELLO,-218.26171875,-222.65625,-634.765625,-1000.0,0.0,0
1713993501.5205755,1,HELLO,999.51171875,999.51171875,-243.65234375,-276.3671875,0.0,0
1713993501.5244377,1,HELLO,244.62890625,244.62890625,-361.328125,999.51171875,0.0,0
1713993501.5282998,1,HELLO,-1000.0,-1000.0,-616.2109375,268.06640625,0.0,0
1713993501.532162,1,HELLO,-456.0546875,-619.62890625,-608.88671875,-1000.0,0.0,0
1713993501.5360243,1,HELLO,999.51171875,999.51171875,-411.62109375,-645.5078125,0.0,0
1713993501.5398865,1,HELLO,251.46484375,387.6953125,-387.20703125,967.7734375,0.0,0
1713993501.5437486,1,HELLO,-1000.0,-1000.0,-616.69921875,711.9140625,0.0,0
1713993501.548089,1,HELLO,-915.52734375,-1000.0,-736.328125,-855.46875,0.0,0
1713993501.5519514,1,HELLO,646.97265625,319.3359375,-522.4609375,-1000.0,0.0,0
1713993501.5558138,1,HELLO,768.5546875,911.1328125,-340.33203125,253.90625,0.0,0
1713993501.5596764,1,HELLO,-827.1484375,-650.390625,-570.80078125,999.51171875,0.0,0
1713993501.5635388,1,HELLO,-1000.0,-1000.0,-716.796875,-125.48828125,0.0,0
1713993501.5674012,1,HELLO,27.83203125,-86.42578125,-579.1015625,-1000.0,0.0,0
1713993501.5712638,1,HELLO,999.51171875,999.51171875,-216.30859375,-174.8046875,0.0,0
1713993501.5751262,1,HELLO,-89.84375,29.78515625,-349.12109375,999.51171875,0.0,0
1713993501.5789888,1,HELLO,-1000.0,-1000.0,-676.26953125,228.02734375,0.0,0
1713993501.5828512,1,HELLO,-225.09765625,-296.38671875,-698.2421875,-1000.0,0.0,0
1713993501.5867136,1,HELLO,999.51171875,999.51171875,-266.6015625,-299.8046875,0.0,0
1713993501.5905762,1,HELLO,245.60546875,246.09375,-307.6171875,999.51171875,0.0,0
1713993501.594877,1,HELLO,-1000.0,-1000.0,-682.12890625,429.6875,0.0,0
1713993501.5987396,1,HELLO,-557.12890625,-766.11328125,-755.859375,-1000.0,0.0,0
1713993501.6026025,1,HELLO,999.51171875,875.9765625,-359.86328125,-707.51953125,0.0,0
1713993501.606465,1,HELLO,390.625,526.85546875,-287.109375,908.69140625,0.0,0
1713993501.610328,1,HELLO,-1000.0,-985.83984375,-625.0,868.65234375,0.0,0
